2601 2	
	 -0.9641716584 -3.695991357
	 -0.803476382 -3.695991357
	 -0.6427811056 -3.695991357
	 -0.4820858292 -3.695991357
	 -0.3213905528 -3.695991357
	 -0.1606952764 -3.695991357
	   0 -3.695991357
	 0.1606952764 -3.695991357
	 0.3213905528 -3.695991357
	 0.4820858292 -3.695991357
	 0.6427811056 -3.695991357
	 0.803476382 -3.695991357
	 0.9641716584 -3.695991357
	 1.124866935 -3.695991357
	 1.285562211 -3.695991357
	 1.446257488 -3.695991357
	 1.606952764 -3.695991357
	 1.76764804 -3.695991357
	 1.928343317 -3.695991357
	 2.089038593 -3.695991357
	 2.24973387 -3.695991357
	 2.410429146 -3.695991357
	 2.571124422 -3.695991357
	 2.731819699 -3.695991357
	 2.892514975 -3.695991357
	 3.053210252 -3.695991357
	 3.213905528 -3.695991357
	 3.374600804 -3.695991357
	 3.535296081 -3.695991357
	 3.695991357 -3.695991357
	 3.856686634 -3.695991357
	 4.01738191 -3.695991357
	 -4.01738191 -3.535296081
	 -3.856686634 -3.535296081
	 -3.695991357 -3.535296081
	 -3.535296081 -3.535296081
	 -3.374600804 -3.535296081
	 -3.213905528 -3.535296081
	 -3.053210252 -3.535296081
	 -2.892514975 -3.535296081
	 -2.731819699 -3.535296081
	 -2.571124422 -3.535296081
	 -2.410429146 -3.535296081
	 -2.24973387 -3.535296081
	 -2.089038593 -3.535296081
	 -1.928343317 -3.535296081
	 -1.76764804 -3.535296081
	 -1.606952764 -3.535296081
	 -1.446257488 -3.535296081
	 -1.285562211 -3.535296081
	 -1.124866935 -3.535296081
	 -0.9641716584 -3.535296081
	 -0.803476382 -3.535296081
	 -0.6427811056 -3.535296081
	 -0.4820858292 -3.535296081
	 -0.3213905528 -3.535296081
	 -0.1606952764 -3.535296081
	   0 -3.535296081
	 0.1606952764 -3.535296081
	 0.3213905528 -3.535296081
	 0.4820858292 -3.535296081
	 0.6427811056 -3.535296081
	 0.803476382 -3.535296081
	 0.9641716584 -3.535296081
	 1.124866935 -3.535296081
	 1.285562211 -3.535296081
	 1.446257488 -3.535296081
	 1.606952764 -3.535296081
	 1.76764804 -3.535296081
	 1.928343317 -3.535296081
	 2.089038593 -3.535296081
	 2.24973387 -3.535296081
	 2.410429146 -3.535296081
	 2.571124422 -3.535296081
	 2.731819699 -3.535296081
	 2.892514975 -3.535296081
	 3.053210252 -3.535296081
	 3.213905528 -3.535296081
	 3.374600804 -3.535296081
	 3.535296081 -3.535296081
	 3.695991357 -3.535296081
	 3.856686634 -3.535296081
	 4.01738191 -3.535296081
	 -4.01738191 -3.374600804
	 -3.856686634 -3.374600804
	 -3.695991357 -3.374600804
	 -3.535296081 -3.374600804
	 -3.374600804 -3.374600804
	 -3.213905528 -3.374600804
	 -3.053210252 -3.374600804
	 -2.892514975 -3.374600804
	 -2.731819699 -3.374600804
	 -2.571124422 -3.374600804
